,text_trans,pred_bin
0,inscripcion realiz eventbrit cualqui dud md corre info,0
1,fin pod public cartel ponent cybersectalks si interesadx algun temat aparec dud ven total gratuit graci patrocini colabor + info abaj,0
2,encuentr madr mlops trincher ven conoc practic mlops correct,1
3,buen fot circul bell artes,0
4,,0
5,meetup juev marz realiz final 😄 sent tremend agradec gener vem juev,0
6,hoy lleg estupend mochil gadgets pas rampup bootcamp desarroll web graci detall 😱🧑‍💻 fullstackdevelop,0
7,public meetup marz pm interes aplic bitcoin agram project cre aplic neces usar codig stack tecnolog bitcoin,0
8,esper hoy dig comuniqu 😬😬,1
9,suspens miniscript,0
10,marz meetup madr va habl proyect interes pod realiz desarroll bitcoin brev pas detall ir reserv dia hor pm,0
11,interes,0
12,buen interaccion comun siguient cuent cop top workinl 🏆,0
13,hoy finaliz workinl hac buen particip twitt aun qued dia hoy 💪,0
14,respons campus urdulizftef encuentr particip mes redond - nuev format formacion compart mes bbk bootcamps by ied kunsthalbilba workinl bizkai educ,0
15,buen dias cpsers hoy pod confirm terc meetup comun cps madr agradec enorm gener espaci esper miercol vien pd aun qued unas poc plaz tiemp apuntar,0
16,interes,0
17,graci amig acog ayer maner bastant flexibl equip ador madr ♥️ genial pas san valentin habl bitcoin 🙏,0
18,compart mini resum º encuentr reinventadxs anunci entram cuent regres º apuntat fech marz vem madr graci hac posibl vem pront mytechpl,0
19,nuev tall empleabil sevill junt 💼 abord nuev oportunidadeslaboral sector digital 📍 febrer h campus info⤵️,0
20,urdulizftef organiz colabor bbk bootcamps by jammers h non stop quier sab eventaz visit web 👉 ggjftef ggj videogam hackathon,0
21,plac asist ayer tall ux/ui - com maximiz valor usuari impart miriam sanchez muñoz 👏👏👏,0
22,inici masterclass datascienc ia gobern ai chatgpt nlp,0
23,masterclass dat scienc bootcamps bbk power by artificalintelligenc chatgpt,1
24,ia gobern,0
25,interesantisim jorn proptechthursdays propp hanok,0
26,unid foment formacion disciplin digital 💻 ofrec paquet ayud estudi cuatr bootcamps impart valenci vien 👉🏼,1
27,hoy 🧠🤖 masterclass inteligent artificial chatgpt ias explic bootcamp datascienc bilba,1
28,buen vem ahi 😊,0
29,vem ahi😊😊,0
30,interes apunt,0
31,record tb patrocin platin compromet minut cer cual event va ser enorm 🥰 by kud patrocin principal,0
32,was one of the reasons i got into community built countless communities/initiativ brought tons of new folks into the ecosystem he's currently rocking the bootcamp with helping unemploy peopl learn tech,0
33,estudi ahor pag encuentr trabaj conviertet expert digital bootcamps by 👩‍💻 format full tim part tim tard presencial hibr decid info ➡,0
34,🤝🏻 plac aport granit aren bootcamp graci asistent acog ultim detall gui emple dispon larg mes febrer 📌🎁 vem pronto😁,0
35,busc person cambi vid 😎list ser dal gir carrer entrenat profesion demand bootcamps by 🚀 quier sab ➡,0
36,📌 hoy ener plac particip bootcamp coo habl empleabil marc actual 🎁 noved present nuev gui emple dispon febrer vemos✌🏻,0
37,religion,0
38,🎯te gust aceler talent digital descubr ventaj oportun ofrec bootcamps celebr sevill 🕞hoy h➡️todav tiemp lanz futur info,0
39,advanc cynefin estuarin mapping &amp eufg masterclass madr | interes aplic cienci complej pais oportun aprend person // sed,0
40,📅est juev masterclass desarroll web fullstack descubr introducirt mund program web graci bbkbootcamps bilba ➡️inscripcion,0
41,aqu termin despues charl podras conoc charl compart unas cañ 🍻 har networking buen ademas sol asist posibil acced bec especial partn,0
42,aprend hoy profesion futur 👨‍💻 format uxuiproductdesign desarrollowebfullstack datascienc cibersegur bootcamps by aceler carrer digital🚀 info 👉,0
43,💥 lleg urdulizftef unic sed bizkai event desarroll videojueg 🎮 grand mund 🌍 🗓 - feb 📍 urduliz colabor ✍️ inscribet gratis,0
44,❓ quien bootcamp sab tecnolog previ pued aport si perfil tecnolog vide encontr respuest ➡ click cambi,1
45,buen resum charl ayer vulner proces cps,0
46,graci aclar victor,0
47,reunion fisic comun cps gestion,0
48,sobreent refier meetup app gent organiz qued temat mayor part gent conoc priori pued ser cualqui tem mund ahor quier sab si cos,1
49,habl,1
50,cos pued ir cualquiera-cualqu deb anunci algun siti se quien “la comunidad” afuer comun cab pueda…,1
51,✌️,0
52,abiert tod comun hac falt alumn,0
53,cre independient lug meetup pued vari,1
